h, min, s, pm_25, pm_10
15, 43, 14, 9.5, 13.4
15, 43, 15, 9.4, 13.3
15, 43, 16, 9.4, 13.2
15, 43, 17, 9.3, 13.1
15, 43, 18, 9.2, 13.0
15, 43, 19, 9.2, 13.0
15, 43, 20, 9.2, 13.0
15, 43, 21, 9.2, 13.0
15, 43, 22, 9.2, 13.1
15, 43, 23, 9.2, 13.2
15, 43, 24, 9.2, 13.3
15, 43, 25, 9.2, 13.3
15, 43, 26, 9.3, 13.9
15, 43, 27, 9.4, 13.9
15, 43, 28, 9.4, 13.9
15, 43, 29, 9.4, 13.9
15, 43, 30, 9.4, 13.9
15, 43, 31, 9.6, 14.7
15, 43, 32, 9.6, 14.7
15, 43, 33, 9.6, 14.4
15, 43, 34, 9.7, 14.1
15, 43, 35, 9.8, 14.2
15, 43, 36, 9.8, 14.3
15, 43, 37, 9.9, 13.1
15, 43, 38, 9.9, 13.0
15, 43, 39, 9.9, 13.1
15, 43, 40, 10.0, 13.1
15, 43, 41, 10.0, 13.3
15, 43, 42, 10.1, 13.5
15, 43, 43, 10.1, 14.3
15, 43, 44, 10.1, 14.3
15, 43, 45, 10.1, 14.3
15, 43, 46, 10.2, 14.6
15, 43, 47, 10.1, 14.7
15, 43, 48, 10.1, 14.9
15, 43, 49, 10.2, 14.9
15, 43, 50, 10.1, 14.8
15, 43, 51, 10.1, 14.9
15, 43, 52, 10.0, 14.8
15, 43, 53, 10.0, 14.7
15, 43, 54, 10.1, 14.7
15, 43, 55, 10.2, 14.8
15, 43, 56, 10.1, 14.1
15, 43, 57, 10.0, 14.1
15, 43, 58, 10.0, 14.1
15, 43, 59, 10.0, 14.0
15, 44, 0, 10.0, 14.0
15, 44, 1, 9.8, 13.2
15, 44, 2, 9.8, 13.2
15, 44, 3, 9.7, 13.0
15, 44, 4, 9.7, 13.0
15, 44, 5, 9.5, 12.8
15, 44, 6, 9.5, 12.7
15, 44, 7, 9.4, 12.6
15, 44, 8, 9.4, 12.5
15, 44, 9, 9.3, 12.4
15, 44, 10, 9.3, 12.4
15, 44, 11, 9.3, 12.3
15, 44, 12, 9.2, 12.1
15, 44, 13, 9.2, 11.4
15, 44, 14, 9.2, 11.2
15, 44, 15, 9.1, 11.3
15, 44, 16, 9.1, 11.2
15, 44, 17, 9.1, 11.7
15, 44, 18, 9.1, 11.6
15, 44, 19, 9.0, 11.4
15, 44, 20, 9.1, 11.6
15, 44, 21, 9.2, 11.8
15, 44, 22, 9.2, 11.9
15, 44, 23, 9.2, 11.9
15, 44, 24, 9.1, 11.9
15, 44, 25, 9.0, 11.8
15, 44, 26, 9.0, 11.8
15, 44, 27, 9.0, 11.8
15, 44, 28, 8.9, 11.8
15, 44, 29, 8.9, 11.9
15, 44, 30, 9.0, 11.9
15, 44, 31, 9.0, 12.0
15, 44, 32, 9.0, 12.0
15, 44, 33, 9.1, 12.0
15, 44, 34, 8.9, 11.9
15, 44, 35, 9.0, 12.5
15, 44, 36, 8.9, 12.4
15, 44, 37, 8.8, 12.7
15, 44, 38, 8.8, 12.8
15, 44, 39, 8.9, 12.9
15, 44, 40, 8.9, 12.8
15, 44, 41, 8.9, 12.9
15, 44, 42, 8.9, 13.0
15, 44, 43, 8.8, 12.8
15, 44, 44, 8.8, 12.8
15, 44, 45, 8.8, 12.8
15, 44, 46, 8.8, 12.7
15, 44, 47, 8.7, 12.2
15, 44, 48, 8.6, 12.1
15, 44, 49, 8.7, 12.2
15, 44, 50, 8.7, 12.1
